"Tweet","Continent"
"aoife03 samsung galaxy s4 mini didnt wanna be an iphone wanker","Asia"
"phonecase Samsung Galaxy S4 Commuter OtterBox Case free shipping httptco9GeOH8IVlr","NorthAmerica"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 IntoMobile httptcoGLKUv7LMiR ","Europe"
" Nokia Lumia 1020 vs Samsung Galaxy S4 Zoom httptcoOdhPx5Kbvm thailumia","Asia"
"CUSTOM HARD CASE IPHONE ITOUCH 45 SAMSUNG GALAXY NOTE III S3 S3m S4 ONLY 180K LAMA PEMBUATAN 3 HARI ORDER VIA WALINE ","Asia"
"Now I know that I can successfully photograph cranes at night Thanks Galaxy S4 Ill try to get some Christmas Cranes this year","NorthAmerica"
"Almost finish I want you know how much I love you GALAXY s4 Today working for you ","Asia"
"Samsung Galaxy S4 SPHL720 16GB White Frost Sprint Slightly Used 28500 2 Bids End Date Monday httptcoGdfcn9np4M","NorthAmerica"
"Samsung Galaxy S4 16gb 40000 0 Bids End Date Thursday Nov282013 125411 PST Bid now Add to watch list httptcodNLzunZTmx","Europe"
"The New Samsung Galaxy S4 Roundup Smartphone and Its Features httptcoFIp45cgqdB DeviceGadgets","Asia"
"Just picked up my Samsung Galaxy s4 at the Fedex facility D","Asia"
"SGS4 MHL adapter the euphoria of Gun Bros on the big screen httptcoTffnhQfVCV","Asia"
"Got a Galaxy S4 and it rules","Europe"
"How to fix a Galaxy S4 speaker in under 1min coming up httptcoFttDOSDueg","Europe"
"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoaj1CinbFO4","Europe"
"Might consider getting a Galaxy S4 now","Europe"
"KillaKanseco Nigga They just pushed 43 out to devices for support of Galaxy Gear and KNOX S4 couldnt support that earlier","NorthAmerica"
"Otterbox Defender hard case for Galaxy SIV httptco3dpyLEQzx0","Europe"
"ezrijadzia nope Good choice on the galaxy s4 looks great","Asia"
"How to replace a Galaxy S4 speaker in under 1 min is going to happen","Europe"
"So I got home and was introduced to my new phone Got the Galaxy S4 im 2 happy 4 u niqqa","Asia"
"My parents are the coolest bosses Theyre surprising one of our employees w a Galaxy S4 cause hes so hardworking Damn","Asia"
"pursecase can you put in the Galaxy S3 in the S4 case They are the same sizes Let me know","Europe"
"Idk wether to switch to the galaxy s4 or the I iPhone 5s","Asia"
"Galaxy S4 desktop charging station perfect for bedside tables and office desks httptcoiD38LR8lal","NorthAmerica"
"allysayegh no nigga lol thats s iPhone S4 is the new samsung galaxy","Asia"
"SirGeronimo lol no I had a 4s then I broke it and tried out the galaxy s4 for a bit Now Im back to team iPhone","Europe"
"Red Foil Like Christmas Stars On Green Galaxy S4 Cases Festive and elegant in a metallic foil like look Emerald httptcoAcuvSjRdOa","Europe"
"Upgrading my iPhone 3GS to a Samsung Galaxy S4 for free via BestBuy early access Black Friday sale Gr8 deal Upgrading was a pain though","Asia"
"Red Foil Like Christmas Stars On Green Galaxy S4 Cases Festive and elegant in a metallic foil like look Emerald httptcounZwYzWzFn","Asia"
"Stepdad got the galaxy s4 today and Im so jealous","Europe"
"SGS4 external power bank httptcospxe6knXha","Asia"
"Coach just came out with cases for the Galaxy S4 but not the S3 My day is officially ruined","Asia"
"Samsung Galaxy S4 Mini Android 43 update rolled out No KitKat yet but the S4 Mini has a new flavour of Je httptcoiBkcHa9CMN","NorthAmerica"
"Galaxy S4 MHL converter the euphoria of Angry Birds on the big screen httptcoem9Oz0bh7T","Europe"
"But idk if I want to get an iPhone or a galaxy s4","Asia"
"Galaxy S4 MHL converter the euphoria of Gun Bros on the HDTV httptcoPkTUTgGlMS","Asia"
"PERFECT CONDITION White Samsung Galaxy s4 SPHL720SprintClean ESN w case 29800 2 BidsEnd Date M httptcoPLNujwRHeW","Asia"
"An awesome deal worth sharing Samsung Galaxy S4 for FREE w2yr contract at Best Buy BlackFriday httptcoJg7qOC4o34 news holiday","NorthAmerica"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoxXQ0HxSuCT","Asia"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoVv9udsVbw4","Europe"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoVE4RjGdy3s","Asia"
"my GRANDMA just got herself the Galaxy s4 cool ahh ","NorthAmerica"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoFUws22C7Xo","Europe"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoTXXvwARh3l","Asia"
"Getting the Galaxy S4 to replace my old phone","Europe"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoFKi01XVr4f","NorthAmerica"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoOcJfSM1bF1","NorthAmerica"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptco6Rm7sOmHYK","Europe"
"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptco6zqSBN0iFV","Europe"
"Galaxy S4 desktop cradle perfect for nigtstands and work desks httptcoGx6YwEg4zz","NorthAmerica"
"Otterbox Commuter case for SGS4 httptcoX6Qwl1hlnT","NorthAmerica"
"Digicel definitely brightened Jodys Christmas as she was presented with a surprise gift of a Samsung Galaxy S4 httptco46HXoRSFL6","Europe"
"iPhone or Android Android Wish someone would sell me a galaxy s3 or s4 for verizon httptcoD3zSPvodCE","Europe"
"Samsung galaxy s4 is specially designed for females usesSamsung galaxy note 3 specially designd 4 males","NorthAmerica"
"The fact that Galaxy S4 has some sort of branched family is just irritating Just put all the damn specs in the same freakin phone","Asia"
"Samsungtweets I love the samsung galaxy s4 now I just need a tablet","Europe"
"MrsRyze AllenHan Can you make something for Samsung Galaxy S4 too I want a League of Legends phone LoL4Ever","NorthAmerica"
"I think I may try a BallisticCases on my galaxy s4","Asia"
"How do you video chat on the galaxy S4 I know its not facetime thats iPhone","Asia"
"guys do not buy Nokia lumia 820 its terrible i have to use it cause my one and only galaxy S4 is under repair ","Asia"
"Galaxy S4 desktop charger perfect for bedside tables and office desks httptcohn7JxjdjDM","NorthAmerica"
"Datgurltish miklichfam If I ever switch from iPhone Id get the Samsung Galaxy S4 or whatever version is out by then Seems very cool","Europe"
"making the switch to the galaxy s4 within the next couple days and Im actually nervous","Asia"
"Guys please tell me Should I get the iPhone 5c or The galaxy s4 iPhone5c or GALAXYS4","Asia"
"Battlefield EABattlefield battlelog Pls make the Commander App for Samsung Galaxy s4 Thx httptcocjtsYzFxTa","Asia"
"SamsungMobile lot of people are complaining about the Galaxy S4 myself included It switches off randomly freezes and battery is unstable","Europe"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 Ian KerseyIntoMobile httptcoznhP4R0w7S","Europe"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptcoKKEdCOPndS Android","Europe"
"Guess who got a galaxy s4 YEEHAW","Asia"
"Got a OtterBox case on my galaxy s4 and it still got a crack in the screen nothing even touched the screen the case is a epic fail","Asia"
"Otterbox Defender hard case for Galaxy S4 httptco8afklhdM9W","Europe"
"I got iPhones 5c for 50Galaxy S4 for 50Free Galaxy S3Att Sprint VerizonDont wait til black Friday to httptcogX7ct06p68","Europe"
"FuckenAllie the galaxy s4 activex and for reals they are lol","Asia"
"The galaxy S4 speakers are so much better than iPhone speakers","Europe"
"Getting a galaxy s4 for Christmas","NorthAmerica"
"Galaxy S4 casestand for those with smaller hands httptcoPw7cg2bRuG","Europe"
"Otterbox Defender Series hard case for SGS4 httptcovV59x0qIoq","Asia"
"Punisher Skull graphic case for Galaxy S4 httptcoiEaYBXkxrZ","Europe"
"Otterbox Commuter protective case for SGS4 httptcoibE6HxtE5j","Europe"
"SUN Solar Battery ChargerUSB Cable For Samsung Galaxy SS2S3S4 Andorid Phone 2499 End httptco3J9tWYsNPF","Europe"
"Im over the Galaxy S4 I want my iPhone back","NorthAmerica"
"Cant decide if I should get the Samsung Galaxy s4 or the Galaxy Note 3 help GalaxyNote","NorthAmerica"
"Tweeting from a budget Lenovo hhcomp is total crap compared to my Galaxy S4 or iPad justsaying","NorthAmerica"
"Samsung Galaxy S4 MHL adapter the euphoria of Fruit Ninja on the big screen httptco9hUXE6PmkZ","NorthAmerica"
"FrannyBoii ey I got the first mophie for galaxy s4 you got like you said in class I got the cash when you got the item","Europe"
"I want the galaxy s4","Europe"
"Galaxy S4 gonna be purchased if I keep my job","Asia"
"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoRpfSb25R3T","Asia"
"there are people with iPhone5 and there are people with Galaxy S4 and there isme who is a phoneless preson and thank you very much","Europe"
"dad might give me a galaxy s4 doeee omfg","Asia"
"Glaxy S4 leather flip case blue httptco3GhGf47NXo","Europe"
"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoHje9DY4jth","Europe"
"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoloAz4pq13Q","Asia"
"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoa631dRRPGf","Asia"
"mariamarend meh galaxy s4 or apple 5s who knows Cant decide","Europe"
"Where can I get a new samsung galaxy s4 charger I lost mine ","NorthAmerica"
"So I bought a mophie case for Samsung Galaxy S4 with VerizonWireless I will now never be short battery life saved","NorthAmerica"
"Samsung Galaxy S4 Mini Android 43 update rolled out No KitKat yet but the S4 Mini has a new flavour of Je httptcoYxIkijem1u","Europe"
"Check out this item I found on eBay httptcoMLE2auyvd5 around 5 mins left bargin SAMSUNG GALAXY S4 WHITE PERFECT XMAS GIFTBIDBID","Asia"
"Anyone on here got a Samsung Galaxy Mega Note2 Note3 or S4 Zoom Dm me need to know If there any good","Europe"
"Galaxy S4 and Note 3 to get Android 44 in January S III and Note II before April 2014 httptcoPJf2Ak966b via feedly","NorthAmerica"
"Not bothered about Seven Psychopaths the Samsung Galaxy S4 is decent although I miss autocorrect emojis and gutted about Rioch","Europe"
"rachelconnolly9 What you gettingMy upgrade is due in FebruarySee what I get offeredI like the look of the HTC1 and Galaxy S3 or S4x","Europe"
"GETTING MY GALAXY S4 ON THURSDAY","Asia"
"Got the galaxy s4 FinallyASmartphone","Asia"
"SamsungSupport Just installed Kies 3 It recognises my Galaxy S4 but there is no sync tab Just have Basic Info and Backuprestore tabs","NorthAmerica"
"Might get the Galaxy S4 ","NorthAmerica"
"Galaxy s4 white for 450 with box and everything","Asia"
"I love my galaxy s4 and all but I do miss having emojis when I had an Iphone Oh well","Asia"
"MichelineKatari get a galaxy s4","Asia"
"Im selling a samsung galaxy s4 for cricket Offer me if interested","Asia"
"I just bought Samsung Galaxy S IVS4 Factory Unlocked Phone International Version Black via amazon Huey101 httptcofzb43PEBBm","NorthAmerica"
"Nellylovexx3 Im jealous of that Galaxy S4 Youre missing out","Europe"
"Kinda wish I wouldve gotten the galaxy s4 instead of my iPhone 5s ","Europe"
"my dads telling me about the htc one the windows phone the galaxy s4 Im just like no home boy I want the gold iphone 5s lol","NorthAmerica"
"httptcojdxJ2mE7aZ Tragedy Samsung Android 43 also gives problems on Galaxy S4 International Business Time httptcoG83GZuYLsb","Asia"
"LilShawn Verizon Galaxy S4 For Sale Who Want It how much ","NorthAmerica"
"I gotta get that galaxy S4 that watch ","NorthAmerica"
"US Cellular starts selling Galaxy S4 mini for 50 on 2 years contract httptcot7sVUOuIKP","NorthAmerica"
"Check out MNF Galaxy S4 I9500I9505 Leather Folio Case from Creativity Storefront httptco3TS9tABXgm via CreatorAlliance","Asia"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 US Cellular is now selling the S httptcoqumGKdL4qu android tech","NorthAmerica"
"Otterbox Defender Series hard case for SGS4 httptcow4ouqd53Oj","Europe"
"TheThugPrince Bbz 10 or z30 galaxy s4 or s5 iphone 4 Which one should i get idk buh u cud get me the Z30 thnx eh lol","NorthAmerica"
"Check out Church Flag Samsung Galaxy S4 Hardshell Case from Creativity Storefront httptco0r2gsqAuDg via CreatorAlliance","Europe"
"looking at stores to find who has the best deals on a Galaxy s4","NorthAmerica"
"SGS4 MHL adapter the bliss of Gun Bros on the HDTV httptcojMxcsuhZ7b","Europe"
"After Ive rooted my mobile phone Ill try to get these things on it just because I want it httptcogTyKth1is8 httptcoTfxvkcWCVI","Asia"
"Ive just wished for samsung galaxy s4 at httptco8Dmim4n6VS UniiUK What will you wish for httptcojBzeY7B2l9","NorthAmerica"
"Wait I think I can see emojis now that I have a galaxy s4","Asia"
"Galaxy S4 and S4 Mini from Canadian carriers receiving Android 43 update httptcomKwlYlmewJ","NorthAmerica"
"CELL PHONE CASE COVER BLING FOR SAMSUNG GALAXY S4 S IV PURPLE LEOPARD BUNDLE 1295 0 Bids End Date httptcot5U4IPZeVe","NorthAmerica"
"Theres a touch decision in my life Do I get the galaxy s4 or the Moto X ","Europe"
"Bbz 10 or z30 galaxy s4 or s5 iphone 4 Which one should i get","Europe"
"Samsung Galaxy S4 16GB White Frost ATT Smartphone 40000 0 Bids End Date Thursday httptcoRAdgMhhDTL","NorthAmerica"
"Extended battery with rear cover for Galaxy S4 smartphone httptcoekc9IQLY6E","Asia"
"Haba AwakeForYHWH Someone asked me why I downgraded from galaxy s4 to iPhone 5 series Hurt my feelings Hahaha","NorthAmerica"
"Just got the galaxy S4 and Im in love","Asia"
"Wait does the Galaxy S4 have emojis now kissmyashhh JessWoods22","Asia"
"3X 4FT 35MM AUX EXTENSION AUDIO LSHAPE CABLE BLACK GALAXY S4 S3 NOTE II NEXUS 2495 0 Bids End Date Monday httptcowEwXkBok4k","Europe"
"NEW Samsung Galaxy S4 S IV GTi9500 Android 42 16GB Pink Factory Unlocked 99900 End Date Monday httptcotnwYhg00Qy","Europe"
"2X USB AC HOME WALL ADAPTER POWER CHARGER 2A BLACK GALAXY TAB 77 NOTE S4 CAMERA 1071 0 Bids End Date httptcoiZAVYqItRb","Europe"
"Samsung Galaxy S4 White Att 30000 0 Bids End Date Monday Nov252013 141710 PST Buy It Now for only httptcozrsWdmpKmX","Asia"
"I got my new phone Galaxy s4","NorthAmerica"
"super selfie goodbye crapple apple hello samsung galaxy s4 httptcoYRb8tpGLIn","Asia"
"Samsung Galaxy S4 2in1 case stand for those with incompatible hands httptcoKJOxuvSt76","Europe"
"Someone asked me why I downgraded from galaxy s4 to iPhone 5 series Hurt my feelings Hahaha","Europe"
"The new Galaxy S4 touch screen sensitivity options Low Medium High Drake","Europe"
"SamsungMobileUS heres my review on the new galaxy s4 Hope you have perfectly steady hands because every picture will be blurry otherwise","Europe"
" httptco7eorxa6zbR 20 Doctor Who Doctor Who celebrates 50 years today google play chelpus samsung galaxy s4","Europe"
"Need new phone but cant afford a new iPhone What is Samsung galaxy s4 mini like and can I import my iTunes music to it","Asia"
"Galaxy S4 and Note 3 to get Android 44 in January S III and Note II before April 2014 SamMobile httptcotktSxWKDO5","Europe"
"Galaxy S4 and Note 3 to get Android 44 in January S III and Note II before April 2014 SamMobile httptcozCaEe2fFq7","Europe"
"Galaxy S4 users We have over 20 new graphic backs Come add a little flavor to your phone Here is a sneakpeek httptco4wV7qA8N0v","Europe"
"Looking for a brand new mobile What about Galaxy S4 Active DoItNow httptcoJzluS0sRuB","Asia"
"DrakeTheTypee The new Galaxy S4 touch screen sensitivity options Low Medium High Drake ","Europe"
"hallelujah tbhhhh only one side works and my galaxy s4 headphones still havent came in ","Europe"
"Hashtag GlobeGalaxyS4LTE to win a Galaxy Tab Tell us whats the best thing with the new Samsung Galaxy S4","NorthAmerica"
"mobile US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptcoawwZfohqPF","Europe"
"Pwn2Own 2013 Contest Samsung Galaxy S4 and iPhone 5 0day exploitshttptcoZdA38ZyK6Ysecurity mobile hacking Samsung zeroday","Europe"
"What phone should I get or Christmas iphone 5s or galaxy s4","Europe"
"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoJ0DeYFkWxy","NorthAmerica"
"Got a new phone YES FINALLY Galaxy S4","Asia"
"OtterBox 7727604 Commuter Series Case for Samsung Galaxy S4 1 Pack Carrier Packaging Black 2190 httptcoEjI8S1DD0v","Europe"
"Sebianoti Damn that looks really good What phone is this Samsung Galaxy S4 ","Asia"
"MarkWright you need a galaxy s4 In your life ","Asia"
"I wanna get the galaxy s4 active ","Asia"
"Samsung Galaxy S4 desktop charger perfect for bedside tables and office desks httptcodXjWqFU7U3","Asia"
"TacoPolaco just get a galaxy s4 this phone is bomb","Europe"
"I love the Galaxy S4 but I hate it cuz I dont have iTunes Dx","Asia"
"TMobile offering 48 off Galaxy S4 and Note 3 on Black Friday 40 off Galaxy S3 SamMobile httptcodIROpaIyeC","Europe"
"ShaunHillzie swill66QPR galaxy s4 fuck apple its a dying breed","Europe"
"Im gonna kill zacktarbet for getting the galaxy S4 before me","Asia"
"Siri is the dumbest bitch I have ever seen Thats why I have a Galaxy S4","Europe"
"Tea lover iPhone 4 5 flip case Samsung Galaxy S3 S4 leather wallet iPhone wallet book st httptcoxj2n0IgnDn phonecase NotebookCase","Europe"
"owenjones2591 news just in the samsung galaxy s4 was created before the wheel","Europe"
"keep my galaxy S4 or go to the iphone 5C","NorthAmerica"
"Android KitKat is available for your GalaxyS4Check it out httptcoIgHzemCaJP","Asia"
"httptco614Kqjbgwm The update to Android 43 Galaxy S4 also gives problems Android Help httptcoDXQik2PaEK","Asia"
"Android 44 for Galaxy S4 released though it is the unofficial version httptcoKZHSCNx4Uk","Asia"
"So excited getting a new galaxy s4","NorthAmerica"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptcotdqT6HJq5z","Europe"
"like 3 months until i think i can get a samsung galaxy s4 to replace my s3 bless","Asia"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptcowxsQWHaeZS","NorthAmerica"
"Going from a Galaxy S4 to a flip phone Can anyone say swagoverload httptco9wo2skAxac","NorthAmerica"
"Galaxy S4 desktop cradle perfect for nigtstands and office desks httptcoIy06nWsh3F","NorthAmerica"
"everyone else keeps telling me to get an iphone but part of me wants a galaxy s4 help","NorthAmerica"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 US Cellular is now selling the Samsung httptcolLQFP8NRcx Mobile","Europe"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptco0JV1zqnvOh","Europe"
"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptco5Z7VOlWfOi","Asia"
"I think Im gonna get the samsung galaxy s4","Asia"
"tescomobilecare my Samsung galaxy S4 has stopped working can you repair it as theyre addressing a software problem right now","NorthAmerica"
"Galaxy S4 MHL adapter the euphoria of your photo gallery on the HDTV httptcomZaHV5RRnb","Asia"
"Galaxy s4 is compatible with the galaxy gear Might have to switch over lol","Asia"
"SGS4 desktop charging station perfect for bedside tables and office desks httptcoEADg4OYCZW","Europe"
"I love my galaxy s4","Asia"
"tescomobile my Samsung galaxy S4 has stopped working can you repair it as theyre addressing a software problem right now","NorthAmerica"
"THE GALAXY S4 IS 96 CENTS ON BLACK FRIDAY BUT MY DAD DOESNT HAVE ANOTHER LINE TO ADD ME TO IM DONEEEEEE THESTRUGGLE","NorthAmerica"
"Me my Galaxy S4 have officially been reunited happygirl","NorthAmerica"
"Anybody want to swap a iPhone 5 for a samsung galaxy s4 ","NorthAmerica"
"Staples Black Friday Deals 1 cent Samsung Galaxy S4 Other Deals httptcoeBkRIllpqW httptco8o2MCRZyuF","NorthAmerica"
"Galaxy S4 MHL adapter the bliss of Angry Birds on the big screen httptco3ws7nzQy7B","Asia"
"Samsung Galaxy S4 White Frost 16GB ATT SGHI337 MUST LOOK 32500 End Date Wednesday httptcooydHuS4uW1","Europe"
"guardedzayn ok I have a galaxy s4 but the app wont let me change it so I went to my internet and went to twitter and logged in then I ","Europe"
"iPhone 4 camera sucks compared to the iPhone 4S But they both suck compared to the Galaxy S4","Europe"
"pohdoh and the galaxy s4 has an octacore and the iphone 5s beats it so if it was for octacore i dont see why the IOS will not run it","Asia"
"smAshleeyyyyy Trust me you dont want a Galaxy S4 Active the battery life is bad Like really bad Give me a price range and carrier","NorthAmerica"
"SGS4 MHL converter the bliss of Fruit Ninja on the big screen httptcoifaONhtjTB","Europe"
"Just got the Samsung Galaxy s4 and it is freaking awesome","Asia"
"If anyone is interested in a brand new Samsung Galaxy S4 sim freeunlocked to any network DM me 400 523 in shops","Asia"
"Otterbox Commuter Series protective case for SGS4 httptcoX0cWlArZBf","Europe"
"iPabbie I have a Samsung Galaxy S2 kinda broken after a swim in the toilet would you recommend the S4 p","NorthAmerica"
"TMobile offering 48 off Galaxy S4 and Note 3 on Black Friday 40 off Galaxy S3 httptcoQKXE8HrPCX android android","Europe"
"PJKellam I have a galaxy S4 and I completely love it Ive had all droids and they used to be a little laggy the S4 is extremely smooth","Asia"
"Samsung Galaxy S4 mini welcomed to Android 43 Jelly Bean the second most recent version of Googles popular mobile OS","Europe"
"How do I logout of twitter on the galaxy s4 mini ","NorthAmerica"
"Just got a Samsung Galaxy S4 from work and Im hating this touch wiz thing I need to root this and go vanilla","Europe"
"Might get the Galaxy S4 tonight","NorthAmerica"
"Bye bye iPhone And whhyyyy hellloooo galaxy s4 httptco62h561BJQI","Europe"
"Galaxy S4 brand new no box 250 hit me","Europe"
"You will be amazedCheck out the GalaxyS4 stats mindblowing httptcoP4Lp1SSJON","Europe"
"If you have a Galaxy S4 I rate you upgrade it to android 43","NorthAmerica"
"I did the math Galaxy S4 success will blow your mind httptcoVs7bjuzJJ5","Europe"
"Iv had this Galaxy S4 for months and I still dont know how to use the cool stuff ijusttweet text makephonecalls searchtheweb fml","Europe"
"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcovQ8t7rc7yY","NorthAmerica"
"Have a brand new Galaxy S4 on reserve for a Black Friday deal at Sams Club If you have an upgrade and want it you can have it for 1 HMU","NorthAmerica"
"Galaxy SIV flip case green httptcoUepfuW9ZY7","Europe"
"Otterbox Commuter case for SGS4 httptcoX6Qwl1hlnT","Europe"
"PiontkaToro no you need a samsung galaxy s4 lol x","NorthAmerica"
"sidneywakai what you got Galaxy S4 is the one iphonesareshit","Europe"
"Samsung Galaxy S4 casestand for those with incompatible hands httptconFdXAXJVbv","Europe"
"Funky Seattle Space Needle Samsung Galaxy S4 Cases Funky Seattle Space Needle Samsung Galaxy S4 Cases 4495 by httptcotndHdX8zUG","Asia"
"I liked a YouTube video from mrskypr0z httptcoL2LtU2EchF Samsung Galaxy S4 Slow Motion Tests","Europe"
"SamsungMobile What happens with the update Android 43 for the Samsung Galaxy S4 Active","NorthAmerica"
"Otterbox Defender case for Samsung Galaxy SIV httptcoU6t423Um5v","Asia"
"I fucking HATE my phone I want the Galaxy S4 so bad","Asia"
"Samsung Galaxy S4 SGHI337 16GB Black ATT Unlocked bundle w Cover 40000 0 Bids End Date Tuesday httptcoYmeNTDwicn","NorthAmerica"
"CELL PHONE CASE COVER BLING FOR SAMSUNG GALAXY S4 S IV PURPLE LEOPARD BUNDLE 1295 0 Bids End Date httptcouvfarON3JR","NorthAmerica"
"samsung s4 mini galaxy new android smart smartphone price 469 httptcoHHXgmHW2sf","NorthAmerica"
"4eyedlegend I was thinking that I had the s4 but it broke so Im deciding Weather to get the newest galaxy or iPhone","Europe"
"Check out this item I found on eBay httptcoMLE2auyvd5 samsung galaxy S4 white mist bargin hardly used boxed Perfect xmas giftbid","Asia"
"US Cellular Now Selling The Galaxy S4 Mini For 50 httptcofFcsgENwMG","Asia"
"BTC242 yes plz do Btc doin it big dis holiday want dat samsung galaxy note 3 or the samsung galaxy S4 thing called get connected with BTC","NorthAmerica"
"EccentricBibi galaxy S4 anyday","Asia"
"I want the Galaxy S4","Asia"
"idk whether to get the galaxy s4 or the note 3","Asia"
"My parents got the Galaxy S4 they dont know how to use it ","NorthAmerica"
"LornaMallick hahaha galaxy s4 i went all out haha have internet and its a touch phone o haha em alri think i git it out p","Asia"
"OtterBox 7727604 Commuter Series Case for Samsung Galaxy S4 1 Pack Carrier Packaging Black 2190 httptcortf9tCWIv4","NorthAmerica"
"CueBunny enjoying the beta hhaha I love my galaxy s4 httptcoQYDc0hJFES","Europe"
"Otterbox Defender Series case for SGS4 httptcoH15gWExCYi","NorthAmerica"
"Really want a samsung galaxy note 3or the S4","NorthAmerica"
"The samsung galaxy S4 helps you loose weigh thou httptcoSJsHNsgbdV","Asia"
"Toms Hardware comment rooter un Galaxy S4 httptcoPhlhrT4zFh","Asia"
"13smashuhlee robykenobi my Galaxy S4 came programmed with the app","Europe"
"My wish list for this festive is new phone bt not blackberry thank u maybe a iPhone 5 or Samsung Galaxy S4 please grant my wish LORD","Asia"
"Listing to pitbullinternational love pitbull international love TTPOD galaxy s4 httptcoTIsYQcmLyO","NorthAmerica"
"Download Free CM 11 Nightlies arrive to get KitKat on Galaxy S4 I9500 httptcojlrgPITxPp","NorthAmerica"
"Neat Galaxy s4 original only k2200 Klaus Kingpin Richniggrattitude 819pm Nov 25 Neat Galaxy s4 original on httptcou8udgwiqBA","NorthAmerica"
